"FMAID","Preferred Label","Parent FMAID"
27015,"Articular capsule of right L2-L3 vertebral arch joint",26566
270159,"Integument of left eye",270155
270155,"Integument of eye",224058
270153,"Integument of nose",224058
270157,"Integument of right eye",270155
270151,"Integument of mouth",224058
29106,"Trabecular bone of right posterolateral part of body of third thoracic vertebra",29092
291061,"Trunk of nerve to right subcostal muscle",291059
291063,"Trunk of nerve to left subcostal muscle",291059
291067,"Peripheral segment of right genitofemoral nerve",291065
291065,"Peripheral segment of genitofemoral nerve",288190
291069,"Peripheral segment of left genitofemoral nerve",291065
87225,"Zone 13a of left diagonal artery",86506
48528,"Perimysium of multifidus lumborum",48522
79479,"Trunk of left inferior alveolar artery",79477
68628,"Brodmann area 31",68596
47315,"Perimysium of right nasalis",47314
55580,"Stroma of right inferior parathyroid gland",55577
13370,"Longus colli",32514
328896,"Ossification center of right fetal nasal bone",328895
19537,"Internal surface of seminal vesicle proper",19517
78974,"Trunk of branch of superficial fibular nerve",78962
55503,"Superior border of petrous part of right temporal bone",55502
52042,"Superficial lymphatic vessel of ankle",52041
33126,"Diaphysis of right tibia",33125
58270,"Wall of lactiferous duct tree",86103
72652,"Embryonic stage",24120
22066,"Left retropubic space",22060
326194,"Posterior part of left iliac crest",323464
272717,"Gray matter of left side of uvula of vermis of cerebellum",270352
27271,"Bone of lumbar vertebra",24356
272711,"Gray matter of right side of pyramis of vermis of cerebellum",270352
272713,"Gray matter of left side of pyramis of vermis of cerebellum",270352
272719,"Brodmann area 36 of uncus",271277
272715,"Gray matter of right side of uvula of vermis of cerebellum",270352
45422,"Right medial sural cutaneous nerve",44687
67851,"Structural microtubule-associated protein",67847
86627,"Epithelium of subsegmental bronchus",67782
31368,"Cartilage of superior surface of posterolateral part of body of eighth thoracic vertebra",31071
9427,"Lateral part of lateral basal segmental vein",14315
9423,"Intrasegmental tributary of right medial basal segmental vein",14305
9422,"Right medial basal segmental vein",13289
9420,"Intrasegmental tributary of right medial segmental vein",9412
9425,"Right lateral basal segmental vein",13291
9428,"Right posterior basal segmental vein",13292
9421,"Subsegmental part of medial segmental vein",9413
9424,"Intersegmental tributary of right medial basal segmental vein",14313
9426,"Intrasegmental tributary of right lateral basal segmental vein",14307
9429,"Intrasegmental tributary of right posterior basal segmental vein",14308
67304,"Cell appendage",242660
82634,"Nerve to vertical muscle of tongue",323338
14225,"Right eleventh anterior intercostal artery",10676
18427,"External longitudinal muscle layer of isthmus of left uterine tube",18342
46495,"Chin",46490
12006,"Left superior articular process of first thoracic vertebra",9182
15502,"Intervertebral tributary of third lumbar vein",15499
78145,"Trunk of sixth anterior intercostal vein",78139
310811,"Medial antebrachial cutaneous nerve component of trunk of right eighth cervical nerve",310809
310817,"Medial antebrachial cutaneous nerve component of posterior root of right eighth cervical nerve",310815
31081,"Surface of superior articular process proper of cervical vertebra",30592
310813,"Medial antebrachial cutaneous nerve component of trunk of left eighth cervical nerve",310809
310819,"Medial antebrachial cutaneous nerve component of posterior root of left eighth cervical nerve",310815
310815,"Medial antebrachial cutaneous nerve component of posterior root of eighth cervical nerve",310745
60963,"Mental part proper of base of mandible",59425
38643,"Skin of lateral part of thumb",38642
326721,"Skin of medial part of lower limb",37754
84087,"Major histocompatibility complex protein",67712
18907,"Left lateral sacral vein",18905
16808,"Descending branch of meningeal branch of fourth lumbar nerve",16802
53193,"Right masseteric nerve proper",53189
30288,"Bony part of inferior articular process of fourth cervical vertebra",29799
302886,"Cardinal body part of embryo",292324
302888,"Genital tubercle",293097
302884,"Facial mesenchyme",293885
49970,"Episcleral artery",67610
55860,"Crown pulp of right lower canine tooth",55856
46046,"Medial head of second dorsal interosseous of foot",46040
17061,"Submucosa of pyloric canal",17057
65976,"L4 root of left obturator nerve",65974
18829,"Uterine artery",69803
55140,"Right lateral thyrohyoid ligament",55139
57482,"Left superior nasal meatus",53138
9467,"Inflow part of left atrium",14140
9462,"Myocardium",297498
9469,"Cavity of left auricle",14151
9465,"Cavity of left atrium",13237
9464,"Cavity of cardiac chamber",24034
9461,"Epicardium",84883
9460,"Epicardium of right atrium",12149
9466,"Cavity of left ventricle",13238
9468,"Cavity of outflow part of left atrium",14151
81398,"Nerve to eleventh external intercostal muscle",11695
59297,"Medial border of sphenoidal process of right palatine bone",59296
46806,"Right levator labii superioris",46805
76426,"Trunk of left first dorsal metacarpal artery",76424
53275,"Stapedius nerve",53438
14494,"Fossa for gallbladder",17535
72621,"Medial lemniscus of medulla",83676
54288,"Hair of dorsum of left thumb",54286
53469,"Left saccular nerve",53467
45961,"Lateral head of left gastrocnemius",45959
20328,"T10 level",326006
61439,"Skin of upper outer quadrant of left breast",61422
63253,"Proximal tendon of palmaris longus",38594
37169,"Posterior surface of diaphysis of fibula",37172
81287,"Anterior branch of right axillary nerve",81285
21046,"Seminal vesicle part of left inferior gluteal artery",21044
67771,"Nipple",62112
81422,"Nerve to left first external intercostal muscle",81388
76007,"Trunk of left supra-orbital artery",76005
32806,"Compact bone of distal metaphysis of left femur",32804
49977,"Superficial branch of supra-orbital artery",49976
82827,"Lumican",82824
48159,"Tendon of psoas minor",326214
72640,"Rubrospinal tract",83848
67236,"Isoform of alpha actinin",67880
83534,"Late promyelocyte",83530
21792,"Fascia of muscle",82500
29583,"Trabecular bone of right articular process of tenth thoracic vertebra",29576
295838,"Rhombomere 7",295666
295834,"Rhombomere 5",295666
295836,"Rhombomere 6",295666
295830,"Left nasal placode",293971
44976,"Second dorsal digital branch of left radial nerve",44971
73229,"Subareolar plexus of left breast",5038
43640,"Articular cartilage of patella",12264
22054,"Labium minus branch of right posterior labial nerve",22051
71658,"Parenchyma of left lobe of liver",71660
55187,"Nerve to sternocleidomastoid",65239
47269,"Perimysium of flexor hallucis brevis",47263
72255,"Vermis part of anterior lobe of cerebellum",256150
326574,"Milkline region of trunk",259102
81742,"Nerve to left first lateral lumbar intertransversarius",81726
60887,"Posterior ligament of right incus",60883
82861,"Branch of eighth intercostal nerve to rectus abdominis",11692
10406,"Lateral interchondral ligament of interchondral joint of left 6th and 7th ribs",10385
38524,"Extensor indicis",38509
36071,"Periosteum of distal metaphysis of left fourth metatarsal bone",36069
51836,"Bone of middle phalanx of second toe",51805
7211,"Right testis",7210
7216,"Outflow part of right ventricle",13225
7219,"Left auricle",77110
7215,"Interatrial sulcus",9338
