"FMAID","Preferred Label","Parent FMAID"
76422,"Trunk of dorsal carpal branch of right radial artery",76421
17415,"Posterior wall of superior part of duodenum",86109
49743,"Right deep temporal artery",49742
56796,"Buccal cusp of left upper first premolar tooth",56776
28424,"Surface of right transverse process of first thoracic vertebra",28412
284247,"Plexiform layer of left Brodmann area 48",282533
284241,"Multiform layer of right Brodmann area 43",283037
284249,"External granular layer of right Brodmann area 48",282639
284245,"Plexiform layer of right Brodmann area 48",282533
284243,"Multiform layer of left Brodmann area 43",283037
18583,"Mucosal fold of right uterine tube proper",18540
24838,"Surface of pedicle of lumbar vertebra",24384
20558,"Scrotal branch of genital branch of left genitofemoral nerve",20557
69610,"Lateral part of dorsal digital artery of fourth toe",69600
73291,"Lumen of papillary part of lactiferous duct of left breast",58261
71855,"Subserosa of quadrate lobe of liver",71814
30408,"Cartilage of inferior surface of central part of body of axis",30353
304089,"Belly of long head of biceps femoris",304243
32966,"Proximal epiphysis of proximal phalanx of left third toe",32964
38286,"Skin of posterior part of wrist",317899
69028,"Intersegmental ramus of trunk of left medial basal segmental vein",68961
32193,"Central part of body of third lumbar vertebra",24819
321938,"Posterior region of vascular layer of left eyeball",321934
321937,"Posterior region of vascular layer of right eyeball",321934
321934,"Posterior region of vascular layer of eyeball",265400
321933,"Anterior region of vascular layer of eyeball",265400
321936,"Anterior region of vascular layer of left eyeball",321933
321931,"Bone marrow of ilium",321885
321930,"Rhinencephalon",61996
321935,"Anterior region of vascular layer of right eyeball",321933
321932,"Bone marrow of spinous process of vertebra",321885
17458,"Muscle layer of cardia of stomach",17062
22209,"Rootlet of left eighth thoracic nerve",22187
83206,"Compact bone of distal phalanx of left third toe",83204
71569,"Set of parotid veins",63814
23938,"Middle phalanx of left index finger",23933
83988,"Type A alpha axon",67308
58071,"Chamber of eyeball",82481
25870,"Trabecular bone of articular process of fifth cervical vertebra",25620
258700,"Caudal segment of medulla oblongata",71011
258704,"Middle segment of medulla oblongata",71011
258708,"Rostral segment of medulla oblongata",71011
77522,"Cerebellar commissure",83906
81681,"Nerve to right fourth anterior cervical intertransversarius",81671
78545,"Set of dopaminergic cells",265482
24595,"Trabecular bone of transverse process of cervical vertebra",24346
83958,"Subdivision of spinal nucleus of trigeminal nerve",54501
59271,"Non-articular surface of orbital process of left palatine bone",59269
38497,"Extensor carpi radialis brevis",323234
40110,"Articular cartilage of triquetral facet of right hamate",40109
42918,"Proximal metaphysis of fourth metacarpal bone",42914
73780,"Left medial accessory inferior olivary nucleus",72594
61904,"Lingual gyrus",274522
21157,"Posterior lamina of splenorenal ligament",21155
81880,"C3 branch to left semispinalis cervicis",81871
46229,"Belly of first lumbrical of right hand",46210
74248,"Inner muscle layer of prostatic capsule",74245
22335,"Left gemellus superior",22318
51223,"Cortical tributary of superior sagittal sinus",50977
80154,"Adductor magnus branch of posterior branch of right obturator nerve",45322
59435,"Submandibular fossa",59427
25117,"Compact bone of axis",24564
305967,"Fetal skin",63929
305969,"Embryonic periderm",293355
305965,"Embryonic cardiovascular system",301091
54044,"Epimysium of lateral pterygoid",54041
82128,"T5 branch to longissimus cervicis",11125
46858,"Fascia of tensor fasciae latae",21792
56059,"Crown pulp of right second lower molar tooth",56055
54637,"Caudal part of spinal nucleus of left trigeminal nerve",54634
75195,"Set of olivospinal fibers",75188
13148,"Goblet cell",69075
57688,"Zygomatic process of right maxilla",52895
73981,"Right spinocortical tract of spinal cord",73980
73182,"Palmar ligament of left second carpometacarpal joint",73177
23746,"Radial facet of left scaphoid",23744
50869,"Vestibulocochlear nerve",5865
62551,"Wall of superior lingular segmental bronchus",62553
59117,"Subtarsal sulcus",59116
13859,"Costotransverse ligament of left costotransverse joint",12163
10434,"Posterior radiate sternocostal ligament of seventh sternocostal joint",9126
294672,"Posterior surface of pectoralis minor muscle",294664
29467,"Compact bone of right articular process of ninth thoracic vertebra",26915
294670,"Anterior surface of left pectoralis minor muscle",294666
294676,"Posterior surface of left pectoralis minor muscle",294672
294674,"Posterior surface of right pectoralis minor muscle",294672
37320,"Right ulnar nerve",37319
31425,"Cartilage of right inferior surface of posterolateral part of body of eleventh thoracic vertebra",31405
314259,"Muscle body of zygomaticus minor",319788
314255,"Muscle body of right zygomaticus major",314253
314251,"Muscle body of left levator labii superioris",314247
314253,"Muscle body of zygomaticus major",319788
314257,"Muscle body of left zygomaticus major",314253
50552,"Branch of right anterior inferior cerebellar artery to pons",50551
45426,"Lateral dorsal cutaneous branch of right sural nerve",44694
83027,"Odontoclast",63875
327592,"Meatal plate",69067
62303,"Basal cell of olfactory epithelium",67870
80803,"Trunk of left stapedius nerve",80801
69718,"Calcanean arterial network",69458
39961,"Bony part of right capitate",33355
41824,"Bony part of diaphysis of middle phalanx of left little finger",41822
52363,"Posterior part of right peripheral diaphragmatic pleura",52236
77151,"Patent part of umbilical artery",77150
74354,"Stroma of right lateral lobe of prostate",74351
24564,"Compact bone of cervical vertebra",24322
84596,"Posterior prostatic lymphatic tree",84594
20117,"White adipose tissue",20110
83899,"White matter layer of superior colliculus",83898
76855,"Posterior meniscofemoral ligament",44580
26007,"Left inferior transverse scapular ligament",25978
260073,"Network of trabecular spaces in bone tissue of phalanx of big toe",260071
260071,"Network of trabecular spaces in bone tissue of phalanx of toe",259345
260077,"Network of trabecular spaces in bone tissue of phalanx of third toe",260071
260075,"Network of trabecular spaces in bone tissue of phalanx of second toe",260071
260079,"Network of trabecular spaces in bone tissue of phalanx of fourth toe",260071
63957,"Forefoot",24993
73624,"Right dorsal trigeminal tract",72500
87359,"Wall of left anterior segmental bronchial tree",87336
39233,"Muscle fasciculus of right flexor carpi radialis",39232
27495,"C6 segment of posterior longitudinal ligament",25022
274951,"Anterior segment of left parahippocampal gyrus",274903
274959,"Segment of uncus",62478
87164,"Mucosa of right lateral wall of vagina",87163
57440,"Mastoid angle of right parietal bone",57439
36848,"Bony part of proximal epiphysis of right fifth metacarpal bone",36847
30767,"Bony part of glenoid proper of scapula",222971
307677,"Median nerve component of inferior trunk segment of left first thoracic nerve",307673
307673,"Median nerve component of inferior trunk segment of first thoracic nerve",305401
307675,"Median nerve component of inferior trunk segment of right first thoracic nerve",307673
82788,"N-acetylneuraminic acid",82741
59269,"Non-articular surface of orbital process of palatine bone",59254
57273,"Root canal of left upper second premolar tooth",57267
76383,"Trunk of nutrient branch of left brachial artery",76381
83882,"Nodule of vermis of cerebellum",278629
59218,"Subdivision of surface of zygomatic bone",54846
43441,"Surface of head of right second metatarsal bone",43431
14594,"Lumen of transverse colon",14592
29788,"Bony part of first lumbar vertebra",29750
297882,"Muscle body of left quadriceps femoris",297576
297880,"Muscle body of right quadriceps femoris",297576
297888,"Muscle body of left levator ani",297884
297884,"Muscle body of levator ani",297500
297886,"Muscle body of right levator ani",297884
27362,"Left intrapulmonary part of tracheobronchial tree",27359
273628,"Brodmann area 10 of frontal lobe",271187
273622,"Brodmann area 24 of anterior cingulate gyrus",271251
273626,"Brodmann area 24 of left anterior cingulate gyrus",273622
273620,"Subcortical gray matter of left cerebral hemisphere",61831
273624,"Brodmann area 24 of right anterior cingulate gyrus",273622
262920,"Lumen of trunk of conus branch of anterior interventricular branch of left coronary artery",262918
262924,"Lumen of trunk of left diagonal artery",262918
262922,"Lumen of trunk of anterior branch of anterior interventricular branch of left coronary artery",262918
262926,"Lumen of trunk of septal branch of anterior interventricular artery",262918
262928,"Lumen of trunk of right anterior branch of anterior interventricular branch of left coronary artery",262922
67584,"Nerve of pterygoid canal",9649
75887,"Trunk of meningeal branch of cavernous part of left internal carotid artery",75885
39577,"Perimysium of second dorsal interosseous of hand",39571
60408,"Nail bed proper of left little finger",60406
17374,"Taenia mesocolica of transverse colon",17364
56724,"Buccal root of tooth",327191
45070,"Bursa of right piriformis",45069
78836,"Trunk of tibial nerve",78819
10154,"Costotransverse ligament of left first costotransverse joint",10144
49849,"Superior hypophysial artery",70523
326012,"Medial part of heel",326009
76097,"Trunk of pericallosal artery",79617
27411,"Suprahilar part of mediastinal surface of lung",18145
274118,"White matter of occipital pole",256174
16312,"Accessory process of fourth lumbar vertebra",16229
61722,"Superficial fascia of external acoustic tube",61715
72227,"Lower part of left lacrimal sac",72223
52043,"Superficial lymphatic vessel of right ankle",52042
10484,"Body of first costal cartilage",10431
62945,"Subdivision of cavity of stomach",9337
47032,"Muscle fasciculus of adductor minimus",68013
45157,"Posterior compartment of thigh",323388
19715,"Lumen of prostatic part of urethra",19713
27925,"Articular cartilage of right inferior articular process of eighth thoracic vertebra",26830
25169,"Periosteum of arch of axis",25166
80790,"Trunk of branch of left hypoglossal nerve to left genioglossus",80788
25340,"Dorsal surface of left index finger",25338
87318,"Wall of laterobasal ramus of left posterior basal segmental bronchus",87313
48973,"Left helicis minor",48971
76267,"Anterior branch of posterior spinal artery",76266
25683,"Articular cartilage of left superior articular process of third cervical vertebra",25674
256837,"T5 segment of posterior spinocerebellar tract",256761
256835,"T4 segment of left posterior spinocerebellar tract",256831
256833,"T4 segment of right posterior spinocerebellar tract",256831
256839,"T5 segment of right posterior spinocerebellar tract",256837
256831,"T4 segment of posterior spinocerebellar tract",256761
49546,"Dorsal lingual artery",49539
7319,"Anatomical apex of lung",9658
7317,"Alveolar sac",82478
7311,"Lobe of lung",45728
7314,"Anatomical feature",29733
7318,"Pulmonary alveolus",82493
7313,"Pulmonary acinus",329127
7312,"Bronchopulmonary segment",82494
7310,"Left lung",7195
18438,"Internal longitudinal muscle layer of right uterine tube proper",18347
74545,"Transverse",23133
58588,"Branch of right anterior ciliary artery to major circulus arteriosus of right iris",58586
75081,"Suprastyloid crest",66141
67835,"A-peripheral microtubule of axoneme of flagellum",67834
24177,"Surface of forearm",24176
241777,"Set of capillaries of free upper limb",241859
241773,"Set of capillaries of right pectoral girdle",241771
241775,"Set of capillaries of left pectoral girdle",241771
241779,"Set of capillaries of right free upper limb",241777
241771,"Set of capillaries of pectoral girdle",241767
25384,"Set of joints of C4-C5 vertebrae",293811
10183,"Third costotransverse foramen",10143
47116,"Epimysium of fibularis brevis",47113
32697,"Periosteum of zone of long bone",24041
18977,"T12 part of anterior external vertebral venous plexus",12843
30473,"Cartilage of superior surface of posterolateral part of body of fifth cervical vertebra",30458
304738,"Posterior division of anterior ramus of fifth cervical nerve",65831
304735,"Anterior division of anterior ramus of left fifth cervical nerve",304728
304732,"Anterior division of anterior ramus of right fifth cervical nerve",304728
20234,"Intergluteal cleft",243001
25272,"Posterior surface of arm",61518
51969,"Recurrent branch of right ophthalmic artery",51968
19528,"External surface of diverticulum of seminal vesicle",19518
287293,"Central segment of medial cutaneous nerve of left forearm",287289
28729,"Periosteum of eighth thoracic vertebral arch",26181
287291,"Central segment of medial cutaneous nerve of right forearm",287289
287299,"Central segment of left radial nerve",287295
287297,"Central segment of right radial nerve",287295
287295,"Central segment of radial nerve",287113
21388,"Left common iliac vein",14333
35091,"Calcaneocuboid surface of cuboid bone",35077
44695,"Lateral calcaneal branch of sural nerve",44693
78314,"Trunk of hypogastric branch of iliohypogastric nerve",78310
50003,"Anterior lateral nasal branch of right anterior ethmoidal artery",49995
54396,"Jaw",32406
16612,"Colic lymph node",16629
25687,"Periosteum of third cervical vertebral arch",25605
256877,"T11 segment of left posterior spinocerebellar tract",256873
256875,"T11 segment of right posterior spinocerebellar tract",256873
256873,"T11 segment of posterior spinocerebellar tract",256761
256879,"T12 segment of posterior spinocerebellar tract",256761
256871,"T10 segment of left posterior spinocerebellar tract",256867
328180,"Left fetal orbicularis oculi",328113
14386,"Mediastinal tributary of azygos vein",14294
33572,"Surface of right lateral cuneiform bone",33558
28822,"Periosteum of right transverse process of third thoracic vertebra",28808
288222,"Peripheral segment of vestibulocochlear nerve",288184
288224,"Peripheral segment of right vestibulocochlear nerve",288222
288220,"Peripheral segment of left facial nerve",288216
288228,"Peripheral segment of glossopharyngeal nerve",288184
288226,"Peripheral segment of left vestibulocochlear nerve",288222
80780,"Trunk of branch of left hypoglossal nerve to left ansa cervicalis",80778
33768,"Metaphysis of right ulna",33767
18217,"Lumen of right pulmonary vein",14168
57511,"Crown proper of lower molar tooth",57495
71967,"Set of norepinephric cells in caudolateral pons [A5]",78544
12480,"Articular branch of dorsal branch of second posterior intercostal artery",4188
61451,"Surface of right upper quadrant of right breast",61450
67488,"Dendritic spine",67476
14323,"Superior thyroid vein",77959
29889,"Bony part of body of lumbar vertebra",29740
298895,"Lateral region of posterior zone of superior part proper of body of left scapula",298891
298891,"Lateral region of posterior zone of superior part proper of body of scapula",297054
298893,"Lateral region of posterior zone of superior part proper of body of right scapula",298891
79108,"Superficial fascia of finger",61074
319742,"Proximal tendon of right transversus menti",319740
31974,"Trunk of right lateral basal segmental bronchial artery",69260
319748,"Distal tendon of right transversus menti",319746
319746,"Distal tendon of transversus menti",318766
319740,"Proximal tendon of transversus menti",318766
319744,"Proximal tendon of left transversus menti",319740
76966,"Intersegmental part of apical vein of upper lobe of right lung",76965
79510,"Trunk of parietal branch of right middle meningeal artery",79509
56063,"Enamel of right lower second secondary molar tooth",56050
52428,"Vein of right scala tympani",52426
85068,"Trunk of branch of right anterior inferior cerebellar artery",85062
35536,"Compact bone of diaphysis proper of left first metatarsal bone",35534
38260,"Skin of medial part of right elbow",38259
71688,"Set of lesser palatine arteries",63812
45638,"Subdivision of nervous system",78590
38661,"Distal tendon of flexor digitorum profundus",301080
69294,"Trunk of inferior lingular bronchial vein",68145
49549,"Facial artery",70505
19399,"Lumen of seminal vesicle",12237
74647,"Oxytocin",83347
20771,"Labial branch of left superficial external pudendal artery",20769
10682,"Left transverse cervical artery",10664
326438,"CD34+ Lymphoblast",83030
72305,"Left ethmoidolacrimal suture",72303
318908,"Medial pole of left head of mandible",318904
318900,"Lateral pole of right head of mandible",318898
318906,"Medial pole of right head of mandible",318904
318904,"Medial pole of head of mandible",318957
318902,"Lateral pole of left head of mandible",318898
81451,"Nerve to right fifth internal intercostal muscle",81403
83394,"Dense collagenous sheath of myocyte of internodal tract",83428
52419,"Crista supraventricularis (volume)",52417
75699,"Spinovestibular tract",75683
296728,"Embryonic heart",293355
29672,"Trabecular bone of left inferior articular process of second thoracic vertebra",29640
296726,"Carnegie stage 10b",295914
296724,"Carnegie stage 10a",295914
33663,"Anterior calcanean surface of right talus",33616
24084,"Articular facet of superior process of axis",24694
240847,"Trabecular bone of distal metaphysis of proximal phalanx of left ring finger",240801
240845,"Trabecular bone of distal metaphysis of proximal phalanx of right ring finger",240801
240843,"Trabecular bone of distal metaphysis of distal phalanx of left middle finger",240799
240849,"Trabecular bone of distal metaphysis of middle phalanx of right ring finger",240803
240841,"Trabecular bone of distal metaphysis of distal phalanx of right middle finger",240799
26238,"Left neurocentral junction of fourth thoracic vertebra",26222
262381,"Lumen of trunk of right ovarian artery",262379
262383,"Lumen of trunk of left ovarian artery",262379
262385,"Wall of trunk of right ovarian artery",85656
262387,"Wall of trunk of left ovarian artery",85656
262389,"Lumen of trunk of testicular artery",262064
77072,"Cell group X",77067
27431,"Lumbar vertebral segment of anterior longitudinal ligament",63978
274312,"Gray matter of right side of posterior lobe of cerebellum",274306
274316,"Gray matter of right side of flocculonodular lobe of cerebellum",274306
274310,"Gray matter of left side of anterior lobe of cerebellum",274306
274318,"Gray matter of left side of flocculonodular lobe of cerebellum",274306
274314,"Gray matter of left side of posterior lobe of cerebellum",274306
55588,"Acinus",82478
28435,"Surface of left transverse process of sixth thoracic vertebra",28417
284355,"Internal granular layer of left Brodmann area 52",282857
284351,"External pyramidal layer of left Brodmann area 52",282751
284357,"Internal pyramidal lamina of right Brodmann area 52",282949
284353,"Internal granular layer of right Brodmann area 52",282857
44084,"Posterior talofibular ligament",44080
70574,"Plasma cell",62863
41403,"Trabecular bone of phalanx of ring finger",40230
36258,"Trabecular bone of diaphysis of left first metacarpal bone",36256
74787,"Renin-angiotensin system",274321
38056,"Trabecular bone of left superior articular process of third lumbar vertebra",38054
56420,"Left subarcuate fossa",56418
61823,"Lobe of cerebral hemisphere",61820
52326,"Pleura of costal surface of lung",21454
21282,"Peritoneum over right kidney",21281
46184,"Belly of fourth palmar interosseous of left hand",46182
72064,"Set of thoracic vertebrae",71515
61882,"Nucleus of diagonal band",83840
18222,"Wall of right brachiocephalic vein",18221
32371,"Cartilage of central part of body of second sacral vertebra",32367
47374,"Perimysium of orbicularis oculi",47368
51294,"Left sigmoid sinus",50782
17954,"Serosa of body of gallbladder",17952
47914,"Perimysium of scalenus posterior",47908
60348,"Nail bed of finger",60346
49241,"Aponeurosis of extensor carpi ulnaris",9722
47383,"Fascia of corrugator supercilii",21792
87261,"Wall of anterior ramus of apicoposterior segmental bronchus",87259
23862,"Extension",23139
11757,"Lateral branch of posterior ramus of right eleventh thoracic nerve",11749
59272,"Superior surface of orbital process of palatine bone",59269
63160,"Set of lumbar spinal nerves",55653
53373,"Nerve to right depressor septi nasi",53370
85128,"Aorto-ventricular junction",11337
46827,"Left mentalis",46825
27984,"Fibrous membrane of articular capsule",75445
279845,"Set of branches of coronary arteries",279867
279849,"Set of branches of all coronary arteries",279845
279843,"Set of all regional segments of arteries",279841
279841,"Set of regional segments of arteries",78562
18461,"Mucosa of ampulla of left uterine tube",18356
15743,"Hepatovenous segment V",15755
47236,"Epimysium of abductor digiti minimi of foot",47233
35567,"Trabecular bone of proximal metaphysis of left first metatarsal bone",35565
327268,"Ureteral junction",11337
57850,"Right lower hemithorax",57849
29261,"Articular cartilage of left superior costal facet of body of twelfth thoracic vertebra",26775
292619,"C6 root of nerve to right subclavius",292617
292615,"C5 root of left subclavian nerve",292611
292611,"C5 root of subclavian nerve",308226
292617,"C6 root of subclavian nerve",308226
292613,"C5 root of right subclavian nerve",292611
39366,"Muscle fasciculus of opponens digiti minimi",42168
63989,"Hyaline cartilage of left incus",63983
83695,"Portion of seminiferous tubule fluid",280564
81231,"Set of branches of left radial nerve to left triceps brachii",81229
53496,"Nerve to right stylopharyngeus",53487
66145,"Left jugular lymphatic tree",66140
86224,"Wall of cochlear duct of membranous labyrinth",86223
65323,"Nerve to right flexor digitorum superficialis",44826
58233,"Neck of right third lower molar tooth",58232
57538,"Chamber of upper first premolar tooth",57530
85373,"Mucosa of right lacrimal duct",85365
35450,"Lateral condyle of left tibia",35448
82572,"C2 branch to longus colli",12198
20225,"Left side of rib cage",20219
68296,"Lymph node of apicoposterior segmental bronchus",68286
61643,"Superficial fascia of zone of anterior chest",20410
85054,"Pulmopleural compartment",85009
84337,"Dorsal part of central reticular nucleus",84369
30882,"Anterior surface of right lamina of fifth lumbar vertebra",30873
308825,"Median nerve nucleus of left ventral column",308821
308829,"Ulnar nerve nucleus of dorsal column",308827
308827,"Ulnar nerve nucleus of spinal cord",308746
308821,"Median nerve nucleus of ventral column",308813
308823,"Median nerve nucleus of right ventral column",308821
27406,"Lateral part of costal surface of right lung",27398
274068,"White matter of anterior part of middle frontal gyrus",272563
56873,"Distolingual cusp of lower first molar tooth",56825
38092,"Trabecular bone of right lamina of fifth lumbar vertebra",38091
52519,"Masseteric vein",50945
71588,"Set of caudate branches of left branch of portal vein",63814
84897,"Pericardial sac proper",86563
36444,"Bony part of proximal metaphysis of left second metacarpal bone",36442
49805,"Right sphenopalatine artery",49804
46660,"Left thyropharyngeus",46658
77723,"Macula cribrosa media",77705
72426,"Caudal central oculomotor nucleus",258768
326512,"Medial part of toe",326019
47860,"Tendon of longus colli",9721
46192,"Head of third palmar interosseous of left hand",46187
53077,"Nerve to left tensor veli palatini",53075
85691,"Right lower intercostal lymphatic vessel (6)",85685
18417,"Muscle layer of uterine part of left uterine tube",18338
44851,"First common palmar digital branch of right median nerve",44841
13467,"Summit of arch of aorta",14172
39283,"Tendon of right flexor pollicis brevis",39282
46049,"Lateral head of second dorsal interosseous of left foot",46047
52021,"Superficial lymphatic vessel of left foot",52019
61647,"Superficial fascia of right infraclavicular part of chest",61646
66525,"Perionyx of left middle finger",66517
42039,"Compact bone of diaphysis proper of phalanx of left middle finger",42037
37629,"Distal epiphysis of proximal phalanx of left middle finger",37627
83264,"Bony part of proximal phalanx of second toe",83263
11794,"Right pedicle of third thoracic vertebra",9219
69559,"Zone of trunk of lateral plantar artery",86256
47863,"Fascia of longus capitis",21792
51505,"Articular cartilage of navicular facet of left talus",51503
46583,"Oblique arytenoid",55226
21091,"Right uterotubal junction",21089
321885,"Bone marrow of part of bone",9608
32188,"Periosteum of left inferior articular process of fourth lumbar vertebra",32179
321880,"Superior mediastinal segment of thoracic duct",315270
321883,"Palpebral ligament",25624
321889,"Sacrococcygeal vertebral column",16201
321886,"Bone marrow of iliac crest",321885
321888,"Thoracolumbar vertebral column",16201
321884,"Lesser toe",25046
321887,"Cervicothoracic vertebral column",16201
321881,"Posterior mediastinal segment of thoracic duct",315270
321882,"Set of tonsils",312242
75090,"Subpubic angle",75089
24395,"Trabecular bone of articular process of vertebra",24323
42145,"Compact bone of proximal metaphysis of phalanx of left little finger",42143
40096,"Articular cartilage of trapezoid facet of left trapezium",40094
83733,"Posterior superior fissure of cerebellum",327492
19472,"Mucosa of diverticulum of left seminal vesicle",19464
51601,"Right inferior temporal vein",51303
80645,"Trunk of branch of external laryngeal nerve to inferior pharyngeal constrictor",80635
272288,"Renal tubule of short-looped nephron",15627
272280,"Long descending vasa recta",272225
272282,"Short descending vasa recta",272225
272286,"Renal corpuscle of long-looped nephron",15625
272284,"Renal corpuscle of short-looped nephron",15625
326370,"CYCD79+ lymphocyte",62863
271153,"Left side of brainstem",271149
271159,"Gray matter of substantia nigra",83913
271155,"Right side of medulla oblongata",71011
271157,"Left side of medulla oblongata",71011
271151,"Right side of brainstem",271149
19306,"Internal longitudinal muscle layer of ampulla of right deferent duct",19295
21219,"Perirectal tributary of right inferior gluteal vein",21213
65753,"Lateral branch of posterior ramus of right seventh cervical nerve",65624
36324,"Proximal epiphyseal plate of left first metacarpal bone",36322
12942,"Anterior root of right tenth thoracic nerve",12905
35337,"Distal interphalangeal joint of middle finger",35400
32759,"Trabecular bone of distal epiphysis of right femur",32758
24771,"Left superior vertebral notch of third cervical vertebra",24766
49633,"Left posterior tympanic artery",49631
41164,"Compact bone of proximal phalanx of right middle finger",41163
35883,"Bony part of proximal metaphysis of right third metatarsal bone",35882
326049,"Periungual region of toe",326019
34580,"Trabecular bone of proximal metaphysis of metatarsal bone",32737
41258,"Trabecular bone of diaphysis of distal phalanx of right middle finger",41257
80170,"Communicating branch between left accessory obturator nerve with anterior branch of left obturator nerve",80168
24459,"Distal phalanx of right thumb",23945
84321,"Femoral triangle part of surface of left adductor longus",84308
44750,"Lateral proper plantar digital nerve of third toe",44748
57492,"Region of crown of tooth",86103
68312,"Lymph node of right anterior basal segmental bronchus",68311
42172,"Tendon of muscle of hand",9721
33513,"Capitate facet of right hamate",33492
10888,"Left fourth anterior thoracic radicular vein",10896
39873,"Articular cartilage of lunate facet of scaphoid",33315
30579,"Lateral part of costal surface of middle lobe of lung",30560
305798,"Posterior cord segment of left fifth cervical nerve",305794
305796,"Posterior cord segment of right fifth cervical nerve",305794
305794,"Posterior cord segment of fifth cervical nerve",305039
28125,"Lateral surface of right labium majus",28124
281254,"Subdiaphragmatic pre-aortic lymph node",16603
281250,"Superior pre-aortic lymph node group proper",274321
64076,"Articular capsule of metatarsophalangeal joint of right third toe",64069
52791,"Internal surface of parietal bone",81057
303232,"Bone marrow cavity of hyoid bone",303190
303236,"Bone marrow cavity of second cervical vertebra",303194
303234,"Bone marrow cavity of first cervical vertebra",303194
303230,"Bone marrow cavity of coccyx",303190
303238,"Bone marrow cavity of third cervical vertebra",303194
37156,"Surface of proximal epiphysis of left fibula",37154
81502,"Eighth thoracic rotator",23083
35875,"Bony part of diaphysis of left third metatarsal bone",35873
12545,"Dorsal tributary of ninth posterior intercostal vein",4862
75342,"Groove for popliteus",329287
35513,"Distal epiphysis proper of right radius",35512
43760,"Lateral articular surface of proximal epiphysis of left tibia",43758
38576,"Skin of medial part of little finger",38468
48489,"Tendon of semispinalis thoracis",326213
31846,"Right articular process of first sacral vertebra",31843
318468,"Skeletal muscle tissue of uvular muscle",284660
318466,"Skeletal muscle tissue of left incisivus labii inferioris",318462
318460,"Skeletal muscle tissue of left incisivus labii superioris",318456
318462,"Skeletal muscle tissue of incisivus labii inferioris",284660
318464,"Skeletal muscle tissue of right incisivus labii inferioris",318462
81470,"Nerve to left third innermost intercostal muscle",81412
41785,"Trabecular bone of distal epiphysis of distal phalanx of little finger",41758
23196,"Teres major branch of posterior circumflex humeral artery",23194
231961,"Cavity of little finger part of left common synovial tendon sheath",231957
231969,"Cavity of synovial tendon sheath of finger",40900
231963,"Cavity of synovial tendon sheath of extensor carpi radialis longus and extensor carpi radialis brevis",40900
231967,"Cavity of synovial tendon sheath of left extensor carpi radialis longus and left extensor carpi radialis brevis",231963
231965,"Cavity of synovial tendon sheath of right extensor carpi radialis longus and right extensor carpi radialis brevis",231963
47448,"Epimysium of left zygomaticus major",47446
82332,"T3 branch to splenius capitis",10996
68138,"Left anterior basal segmental bronchial artery",68483
31321,"Articular cartilage of inferior articular process of fifth lumbar vertebra",31314
313211,"Right fetal parietal bone",313207
313214,"Trunk proper of embryo",313152
313216,"Embryonic musculoskeletal system",301091
313218,"Embryonic integumentary system",301091
87000,"Neural network of small intestine",74619
28946,"Periosteum of right inferior articular process of eleventh thoracic vertebra",28924
289460,"Buccal attached gingiva of right side of upper jaw",289458
289462,"Buccal attached gingiva of left side of upper jaw",289458
289466,"Labial attached gingiva of lower jaw",289450
289464,"Palatal attached gingiva of upper jaw",289448
289468,"Buccal attached gingiva of lower jaw",289450
55150,"Inferior root of left ansa cervicalis",55146
12526,"Sacral vertebra",9914
79208,"Pharyngeal mucosal branch of ascending pharyngeal artery",49520
11432,"Descending branch of meningeal branch of eleventh thoracic nerve",6043
28722,"Periosteum of first thoracic vertebral arch",26181
287227,"Central segment of left hypoglossal nerve",287223
287221,"Central segment of left vagus nerve",287217
287223,"Central segment of hypoglossal nerve",287099
287225,"Central segment of right hypoglossal nerve",287223
287229,"Central segment of spinal accessory nerve",287097
19414,"Internal circular muscle layer of right seminal vesicle",19411
21004,"Obturator externus part of right obturator artery",21002
66140,"Jugular lymphatic tree",66132
11198,"Branch of anterior ramus of lumbar nerve",5985
38158,"Tendon of pectoralis major",9721
44570,"Right third superficial transverse metatarsophalangeal ligament",44565
60665,"Eponychium of left third toe",60657
85393,"Submucosa of region of large intestine",85392
54674,"Orbital plate of frontal bone",52847
301694,"Skin of acromial part of pectoral girdle",301685
301697,"Skin of acromial part of right pectoral girdle",301694
301691,"Skin of scapular part of pectoral girdle",301685
301699,"Skin of acromial part of left pectoral girdle",301694
30169,"Bony part of left articular process of fourth thoracic vertebra",30151
14209,"Right upper intercostal lymphatic vessel",85672
326280,"Border of rib",242999
43056,"Metaphysis of second metatarsal bone",33833
29399,"Compact bone of right pedicle of eleventh thoracic vertebra",26881
293995,"Anterior surface of right scalenus anterior",293993
293991,"Region of surface of scalenus anterior",84300
293993,"Anterior surface of scalenus anterior",293991
293999,"Posterior surface of scalenus anterior",293991
293997,"Anterior surface of left scalenus anterior",293993
38632,"Tendon of left flexor digitorum superficialis",38624
57358,"Cavity of crown of left lower first molar tooth",57350
63028,"Plasma membrane proper of Schwann cell",85546
24369,"Compact bone of left lamina of vertebra",24365
327256,"Nucleus of anterior nuclear group of thalamus",256693
56141,"Cavity of upper first molar tooth",56139
73198,"Interosseous ligament of left fourth carpometacarpal joint",73191
48818,"Muscle fasciculus of second lumbrical of left foot",48816
86896,"Neural network of right knee",86895
55981,"Dentine of left upper first secondary molar tooth",55960
21510,"Cardia of stomach branch of left gastric artery",70430
86999,"Neural network of uterus",74619
17510,"Epithelium of rectum",17505
48416,"Tendon of left spinalis capitis",48414
